Zip-Code; Neighborhood; Street; Latitude; Longitude; FloodQuota
89027-786; Progresso; Rua Mario Paterno
89027-669; Progresso; Rua Marta Broetto
89026-441; Progresso; Rua Olympio Severino Goncalves
89027-411; Progresso; Rua Oscar Jose Pering
89027-671; Progresso; Rua Paulina Maria Dias
89026-693; Progresso; Rua Pedro Sebastiao Xavier
89027-665; Progresso; Rua Selma da Silva
89026-687; Progresso; Rua Silva Nicoletti
89026-511; Progresso; Rua Simeao Jacinto Correa
89027-715; Progresso; Rua Terezinha dos Santos
89027-120; Progresso; Rua Vereador Evaldo Moritz
89026-642; Progresso; Rua Wally Alfarth
89026-645; Progresso; Rua Waltrudes Wippel Neumann
89020-002; Ribeirao fresco; Praca Marechal Mascarenhas de Moraes
89065-801; Salto do norte; Praca Arno Buerger
89065-525; Salto do norte; Rua Antonio Rumph
89065-145; Salto do norte; Rua Carlos Sidnei Reinert
89070-572; Salto do norte; Rua Daiana Aparecida de Souza
89065-772; Salto do norte; Rua Gerthilda Jumes Lopes
89070-571; Salto do norte; Rua Maria Stella Vick
89065-232; Salto do norte; Rua Otto Puff
89065-060; Salto do norte; Rua Rubens Dietrich
89037-455; Salto weissbach; Rua Antonio Marcolino Meurer
89032-145; Salto weissbach; Rua Benno Mohr
89032-035; Salto weissbach; Rua Heinz Muller
89032-144; Salto weissbach; Rua Joao Haskel
89037-487; Salto weissbach; Rua Johannes Przigoda
89032-146; Salto weissbach; Rua Luiz Cesar de Farias
89032-247; Salto weissbach; Rua Sido Kirsten
89032-151; Salto weissbach; Rua Virgilio Floriano
89074-620; Testo salto; Loteamento Cidade Jardim Dois
89074-615; Testo salto; Loteamento Cidade Jardim Um
89074-055; Testo salto; Loteamento Natalia
89074-232; Testo salto; Rua Albert Findeis
89074-693; Testo salto; Rua Anderson Bernardo Marowski
89074-618; Testo salto; Rua Arlindo Correa
89074-675; Testo salto; Rua Edgar Barg
89074-608; Testo salto; Rua Elvira Krepski
89074-690; Testo salto; Rua Emilio Kasulke
89074-076; Testo salto; Rua Gregorio Peron
89074-071; Testo salto; Rua Hedwig Weber
89074-692; Testo salto; Rua Joao Lohse
89074-078; Testo salto; Rua Jose Bachmann
89074-477; Testo salto; Rua Jose Joao Serpa
89074-374; Testo salto; Rua Victorio Zanella
89074-130; Testo salto; Rua Walter Wacholz
89074-234; Testo salto; Rua Wilhelm Kreitlow
89057-305; Tribess; Praca Raphael Luciani
89055-520; Tribess; Rua Antonio Lanser
89057-260; Tribess; Rua Emma Schuhart
89057-500; Tribess; Rua G Fahrenheit
89055-450; Tribess; Rua Hercilina de Jesus Eller
89023-720; Valparaiso; Rua 17 de Janeiro
89023-722; Valparaiso; Rua 7 de Novembro
89023-784; Valparaiso; Rua Adilson Duarte
89023-789; Valparaiso; Rua Antonio Egydio Martins
89023-431; Valparaiso; Rua Antonio Germano Junches
89023-335; Valparaiso; Rua Bertold Hieronymus Dickmann
89023-787; Valparaiso; Rua Carmosino dos Santos
89023-405; Valparaiso; Rua Daniel V Schramm
89023-261; Valparaiso; Rua Irineu Tomio
89023-491; Valparaiso; Rua Jose Rocco de Borba
89023-331; Valparaiso; Rua Nelson Schramm
89023-480; Valparaiso; Rua Oskar Kluger
89023-709; Valparaiso; Rua Rosalia Fischer
89023-395; Valparaiso; Rua Veronica Schmidt Mello
89032-325; Velha; Loteamento Agua Verde
89045-730; Velha; Loteamento Pedreira
89036-205; Velha; Parque de Exposicoes Tancredo Neves
89045-182; Velha; Praca Champs Elisee I
89041-401; Velha; Praca do Cooperativismo
89036-305; Velha; Praca Washington Luiz
89036-840; Velha; Rua Armindo Jose Leite
89041-370; Velha; Rua Canavieiras
89040-091; Velha; Rua da Familia
89045-731; Velha; Rua da Figueira
89041-074; Velha; Rua Eduardo Alfredo Mayer
89036-830; Velha; Rua Guilherme Alfredo Berndt
89036-430; Velha; Rua Guilherme Scheeffer
89040-022; Velha; Rua Ida Rotherburg
89045-733; Velha; Rua Inez Rodavelli da Silva
89036-823; Velha; Rua Joao Francisco de Matos
89036-825; Velha; Rua Jose Paulo Barbieri
89045-734; Velha; Rua Jose Pawlak
89032-327; Velha; Rua Lauro Correa
